volume	title	stored_filename	pages	mb	text_sample_chars	source_url
0	성남시사(Index)	seongnam-history-50-index.pdf	72	2.9	4679	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378694
1	제1권 성남의 자연환경	seongnam-history-50-vol-01.pdf	112	14.69	3831	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378693
2	제2권 성남의 인구 및 성씨와 토지 이용의 변화	seongnam-history-50-vol-02.pdf	160	15.37	4866	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378692
3	제3권 옛 지도와 지리지로 보는 성남	seongnam-history-50-vol-03.pdf	120	15.97	6130	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378691
4	제4권 성남의 교통로와 장시의 발달	seongnam-history-50-vol-04.pdf	152	21.55	5758	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378690
5	제5권 역사① 선사시대부터 고려시대까지의 성남	seongnam-history-50-vol-05.pdf	120	6.95	5650	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378689
6	제6권 역사② 조선시대의 성남	seongnam-history-50-vol-06.pdf	112	8.92	5993	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378688
7	제7권 역사③ 성남의 의병 항쟁과 독립투쟁사	seongnam-history-50-vol-07.pdf	120	8.19	5709	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378687
8	제8권 역사④ 광주대단지와 8·10성남(광주대단지)항쟁	seongnam-history-50-vol-08.pdf	112	10.22	5986	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378686
9	제9권 역사⑤ 성남시 승격과 도시개발 50년	seongnam-history-50-vol-09.pdf	136	18.12	5047	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378685
10	제10권 성남 역사 인물 50선	seongnam-history-50-vol-10.pdf	144	14.34	6507	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378684
11	제11권 성남의 문화유산	seongnam-history-50-vol-11.pdf	160	23.67	7152	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378683
12	제12권 성남의 민속	seongnam-history-50-vol-12.pdf	128	13.03	4680	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378682
13	제13권 성남시 선거와 지방자치 30년	seongnam-history-50-vol-13.pdf	160	6.72	7004	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378681
14	제14권 성남시 자치행정과 지방재정	seongnam-history-50-vol-14.pdf	184	12.36	7499	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378680
15	제15권 성남 지역 시민운동과 참여 자치	seongnam-history-50-vol-15.pdf	136	10.77	6735	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378679
16	제16권 성남시 경제와 산업	seongnam-history-50-vol-16.pdf	144	10.84	5897	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378678
17	제17권 성남의 산업구조	seongnam-history-50-vol-17.pdf	160	11.06	5390	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378677
18	제18권 성남의 산업단지와 기업체	seongnam-history-50-vol-18.pdf	160	4.04	5625	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378676
19	제19권 성남 교육의 역사와 학교 교육	seongnam-history-50-vol-19.pdf	104	6.14	5185	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378675
