volume	idx	title	stored_filename	original_filename	bytes	source_url	download_status
0	378694	성남시사(Index)	seongnam-history-50-index.pdf	성남시사(Index).pdf	3044369	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378694	downloaded
1	378693	제1권 성남의 자연환경	seongnam-history-50-vol-01.pdf	제1권 성남의 자연환경.pdf	15404208	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378693	downloaded
2	378692	제2권 성남의 인구 및 성씨와 토지 이용의 변화	seongnam-history-50-vol-02.pdf	제2권 성남의 인구 및 성씨와 토지 이용의 변화.pdf	16111427	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378692	downloaded
3	378691	제3권 옛 지도와 지리지로 보는 성남	seongnam-history-50-vol-03.pdf	제3권 옛 지도와 지리지로 보는 성남.pdf	16746574	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378691	downloaded
4	378690	제4권 성남의 교통로와 장시의 발달	seongnam-history-50-vol-04.pdf	제4권 성남의 교통로와 장시의 발달.pdf	22598151	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378690	downloaded
5	378689	제5권 역사① 선사시대부터 고려시대까지의 성남	seongnam-history-50-vol-05.pdf	제5권 역사① 선사시대부터 고려시대까지의 성남.pdf	7285445	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378689	downloaded
6	378688	제6권 역사② 조선시대의 성남	seongnam-history-50-vol-06.pdf	제6권 역사② 조선시대의 성남.pdf	9350396	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378688	downloaded
7	378687	제7권 역사③ 성남의 의병 항쟁과 독립투쟁사	seongnam-history-50-vol-07.pdf	제7권 역사③ 성남의 의병 항쟁과 독립투쟁사.pdf	8592004	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378687	downloaded
8	378686	제8권 역사④ 광주대단지와 8·10성남(광주대단지)항쟁	seongnam-history-50-vol-08.pdf	제8권 역사④ 광주대단지와 8·10성남(광주대단지)항쟁.pdf	10712256	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378686	downloaded
9	378685	제9권 역사⑤ 성남시 승격과 도시개발 50년	seongnam-history-50-vol-09.pdf	제9권 역사⑤ 성남시 승격과 도시개발 50년.pdf	19004262	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378685	downloaded
10	378684	제10권 성남 역사 인물 50선	seongnam-history-50-vol-10.pdf	제10권 성남 역사 인물 50선.pdf	15038505	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378684	downloaded
11	378683	제11권 성남의 문화유산	seongnam-history-50-vol-11.pdf	제11권 성남의 문화유산.pdf	24819393	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378683	downloaded
12	378682	제12권 성남의 민속	seongnam-history-50-vol-12.pdf	제12권 성남의 민속.pdf	13662832	https://www.seongnam.go.kr/city/1001112/30566/bbsView.do?idx=378682	downloaded
