"시도명","시군구명","기준년도","변동률구분","1월","2월","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
강원특별자치도,강릉시,"2025",평균지가변동률,0.16,0.165,0.168,0.172,0.157,0.151,0,0,0,0,0,0
강원특별자치도,고성군,"2025",평균지가변동률,0.177,0.194,0.154,0.173,0.149,0.152,0,0,0,0,0,0
강원특별자치도,동해시,"2025",평균지가변동률,0.084,0.104,0.09,0.099,0.087,0.098,0,0,0,0,0,0
강원특별자치도,삼척시,"2025",평균지가변동률,0.065,0.082,0.085,0.095,0.071,0.065,0,0,0,0,0,0
강원특별자치도,속초시,"2025",평균지가변동률,0.116,0.177,0.198,0.174,0.186,0.151,0,0,0,0,0,0
강원특별자치도,양구군,"2025",평균지가변동률,0.04,0.027,0.045,0.055,0.029,0.035,0,0,0,0,0,0
강원특별자치도,양양군,"2025",평균지가변동률,0.151,0.202,0.151,0.177,0.161,0.175,0,0,0,0,0,0
강원특별자치도,영월군,"2025",평균지가변동률,0.045,0.059,0.09,0.051,0.042,0.05,0,0,0,0,0,0
강원특별자치도,원주시,"2025",평균지가변동률,0.075,0.082,0.1,0.09,0.061,0.072,0,0,0,0,0,0
강원특별자치도,인제군,"2025",평균지가변동률,0.116,0.094,0.111,0.151,0.103,0.104,0,0,0,0,0,0
강원특별자치도,정선군,"2025",평균지가변동률,0.051,0.084,0.063,0.075,0.057,0.051,0,0,0,0,0,0
강원특별자치도,철원군,"2025",평균지가변동률,-0.025,-0.001,0.009,0.009,-0.008,-0.013,0,0,0,0,0,0
강원특별자치도,춘천시,"2025",평균지가변동률,0.127,0.114,0.136,0.144,0.119,0.108,0,0,0,0,0,0
강원특별자치도,태백시,"2025",평균지가변동률,0.041,0.048,0.057,0.05,0.042,0.038,0,0,0,0,0,0
강원특별자치도,평창군,"2025",평균지가변동률,0.069,0.081,0.078,0.061,0.07,0.063,0,0,0,0,0,0
강원특별자치도,홍천군,"2025",평균지가변동률,0.067,0.07,0.075,0.076,0.044,0.051,0,0,0,0,0,0
강원특별자치도,화천군,"2025",평균지가변동률,0.012,0.011,0.029,0.038,0.031,0.015,0,0,0,0,0,0
