region,unit_name,reference_period,source,table_id,indicator_id,commuting_value
Seoul,종로구,2020,KOSIS,DT_1PA2020,T40,244.7
Seoul,중구,2020,KOSIS,DT_1PA2020,T40,321.0
Seoul,용산구,2020,KOSIS,DT_1PA2020,T40,125.0
Seoul,성동구,2020,KOSIS,DT_1PA2020,T40,112.6
Seoul,광진구,2020,KOSIS,DT_1PA2020,T40,90.1
Seoul,동대문구,2020,KOSIS,DT_1PA2020,T40,105.2
Seoul,중랑구,2020,KOSIS,DT_1PA2020,T40,82.1
Seoul,성북구,2020,KOSIS,DT_1PA2020,T40,93.6
Seoul,강북구,2020,KOSIS,DT_1PA2020,T40,82.9
Seoul,도봉구,2020,KOSIS,DT_1PA2020,T40,80.8
Seoul,노원구,2020,KOSIS,DT_1PA2020,T40,86.2
Seoul,은평구,2020,KOSIS,DT_1PA2020,T40,77.3
Seoul,서대문구,2020,KOSIS,DT_1PA2020,T40,105.3
Seoul,마포구,2020,KOSIS,DT_1PA2020,T40,120.8
Seoul,양천구,2020,KOSIS,DT_1PA2020,T40,82.1
Seoul,강서구,2020,KOSIS,DT_1PA2020,T40,97.0
Seoul,구로구,2020,KOSIS,DT_1PA2020,T40,103.5
Seoul,금천구,2020,KOSIS,DT_1PA2020,T40,128.6
Seoul,영등포구,2020,KOSIS,DT_1PA2020,T40,142.8
Seoul,동작구,2020,KOSIS,DT_1PA2020,T40,88.6
Seoul,관악구,2020,KOSIS,DT_1PA2020,T40,80.1
Seoul,서초구,2020,KOSIS,DT_1PA2020,T40,140.2
Seoul,강남구,2020,KOSIS,DT_1PA2020,T40,192.7
Seoul,송파구,2020,KOSIS,DT_1PA2020,T40,100.4
Seoul,강동구,2020,KOSIS,DT_1PA2020,T40,86.1
Incheon,중구,2020,KOSIS,DT_1PA2020,T40,136.0
Incheon,동구,2020,KOSIS,DT_1PA2020,T40,112.4
Incheon,연수구,2020,KOSIS,DT_1PA2020,T40,92.8
Incheon,남동구,2020,KOSIS,DT_1PA2020,T40,92.9
Incheon,부평구,2020,KOSIS,DT_1PA2020,T40,88.3
Incheon,계양구,2020,KOSIS,DT_1PA2020,T40,85.3
Incheon,서구,2020,KOSIS,DT_1PA2020,T40,93.7
Incheon,미추홀구,2020,KOSIS,DT_1PA2020,T40,92.5
Incheon,강화군,2020,KOSIS,DT_1PA2020,T40,101.2
Incheon,옹진군,2020,KOSIS,DT_1PA2020,T40,107.4
Gyeonggi,수원시,2020,KOSIS,DT_1PA2020,T40,91.3
Gyeonggi,성남시,2020,KOSIS,DT_1PA2020,T40,104.3
Gyeonggi,의정부시,2020,KOSIS,DT_1PA2020,T40,83.5
Gyeonggi,안양시,2020,KOSIS,DT_1PA2020,T40,94.8
Gyeonggi,부천시,2020,KOSIS,DT_1PA2020,T40,90.2
Gyeonggi,광명시,2020,KOSIS,DT_1PA2020,T40,84.5
Gyeonggi,평택시,2020,KOSIS,DT_1PA2020,T40,107.3
Gyeonggi,동두천시,2020,KOSIS,DT_1PA2020,T40,92.7
Gyeonggi,안산시,2020,KOSIS,DT_1PA2020,T40,98.0
Gyeonggi,고양시,2020,KOSIS,DT_1PA2020,T40,86.3
Gyeonggi,과천시,2020,KOSIS,DT_1PA2020,T40,110.2
Gyeonggi,구리시,2020,KOSIS,DT_1PA2020,T40,87.5
Gyeonggi,남양주시,2020,KOSIS,DT_1PA2020,T40,85.8
Gyeonggi,오산시,2020,KOSIS,DT_1PA2020,T40,86.5
Gyeonggi,시흥시,2020,KOSIS,DT_1PA2020,T40,95.7
Gyeonggi,군포시,2020,KOSIS,DT_1PA2020,T40,86.3
Gyeonggi,의왕시,2020,KOSIS,DT_1PA2020,T40,85.8
Gyeonggi,하남시,2020,KOSIS,DT_1PA2020,T40,87.7
Gyeonggi,용인시,2020,KOSIS,DT_1PA2020,T40,90.0
Gyeonggi,파주시,2020,KOSIS,DT_1PA2020,T40,98.8
Gyeonggi,이천시,2020,KOSIS,DT_1PA2020,T40,114.6
Gyeonggi,안성시,2020,KOSIS,DT_1PA2020,T40,109.4
Gyeonggi,김포시,2020,KOSIS,DT_1PA2020,T40,94.1
Gyeonggi,화성시,2020,KOSIS,DT_1PA2020,T40,106.7
Gyeonggi,광주시,2020,KOSIS,DT_1PA2020,T40,87.8
Gyeonggi,양주시,2020,KOSIS,DT_1PA2020,T40,98.8
Gyeonggi,포천시,2020,KOSIS,DT_1PA2020,T40,122.8
Gyeonggi,여주시,2020,KOSIS,DT_1PA2020,T40,105.1
Gyeonggi,연천군,2020,KOSIS,DT_1PA2020,T40,106.4
Gyeonggi,가평군,2020,KOSIS,DT_1PA2020,T40,105.7
Gyeonggi,양평군,2020,KOSIS,DT_1PA2020,T40,95.0
