region,unit_name,region_code,reference_period,source,table_id,employed_thousand,employment_rate
Seoul,종로구,1101,2025-H2,KOSIS,DT_1ES3A03_A01S,73,54.1
Seoul,중구,1102,2025-H2,KOSIS,DT_1ES3A03_A01S,69,58.4
Seoul,용산구,1103,2025-H2,KOSIS,DT_1ES3A03_A01S,113,61.1
Seoul,성동구,1104,2025-H2,KOSIS,DT_1ES3A03_A01S,150,59.9
Seoul,광진구,1105,2025-H2,KOSIS,DT_1ES3A03_A01S,196,61.6
Seoul,동대문구,1106,2025-H2,KOSIS,DT_1ES3A03_A01S,179,54.2
Seoul,중랑구,1107,2025-H2,KOSIS,DT_1ES3A03_A01S,200,58.4
Seoul,성북구,1108,2025-H2,KOSIS,DT_1ES3A03_A01S,220,56.0
Seoul,강북구,1109,2025-H2,KOSIS,DT_1ES3A03_A01S,134,52.1
Seoul,도봉구,1110,2025-H2,KOSIS,DT_1ES3A03_A01S,154,57.3
Seoul,노원구,1111,2025-H2,KOSIS,DT_1ES3A03_A01S,243,56.4
Seoul,은평구,1112,2025-H2,KOSIS,DT_1ES3A03_A01S,241,59.6
Seoul,서대문구,1113,2025-H2,KOSIS,DT_1ES3A03_A01S,164,56.7
Seoul,마포구,1114,2025-H2,KOSIS,DT_1ES3A03_A01S,200,61.4
Seoul,양천구,1115,2025-H2,KOSIS,DT_1ES3A03_A01S,217,59.9
Seoul,강서구,1116,2025-H2,KOSIS,DT_1ES3A03_A01S,301,61.5
Seoul,구로구,1117,2025-H2,KOSIS,DT_1ES3A03_A01S,230,62.2
Seoul,금천구,1118,2025-H2,KOSIS,DT_1ES3A03_A01S,132,59.9
Seoul,영등포구,1119,2025-H2,KOSIS,DT_1ES3A03_A01S,234,65.6
Seoul,동작구,1120,2025-H2,KOSIS,DT_1ES3A03_A01S,213,61.0
Seoul,관악구,1121,2025-H2,KOSIS,DT_1ES3A03_A01S,268,57.6
Seoul,서초구,1122,2025-H2,KOSIS,DT_1ES3A03_A01S,200,58.5
Seoul,강남구,1123,2025-H2,KOSIS,DT_1ES3A03_A01S,273,58.9
Seoul,송파구,1124,2025-H2,KOSIS,DT_1ES3A03_A01S,343,61.8
Seoul,강동구,1125,2025-H2,KOSIS,DT_1ES3A03_A01S,253,58.8
Incheon,중구,2301,2025-H2,KOSIS,DT_1ES3A03_A01S,99,64.5
Incheon,동구,2302,2025-H2,KOSIS,DT_1ES3A03_A01S,31,60.0
Incheon,연수구,2304,2025-H2,KOSIS,DT_1ES3A03_A01S,222,61.1
Incheon,남동구,2305,2025-H2,KOSIS,DT_1ES3A03_A01S,263,60.5
Incheon,부평구,2306,2025-H2,KOSIS,DT_1ES3A03_A01S,269,60.5
Incheon,계양구,2307,2025-H2,KOSIS,DT_1ES3A03_A01S,154,61.7
Incheon,서구,2308,2025-H2,KOSIS,DT_1ES3A03_A01S,361,64.3
Incheon,미추홀구,2309,2025-H2,KOSIS,DT_1ES3A03_A01S,230,59.0
Incheon,강화군,2331,2025-H2,KOSIS,DT_1ES3A03_A01S,40,66.3
Incheon,옹진군,2332,2025-H2,KOSIS,DT_1ES3A03_A01S,12,79.0
Gyeonggi,수원시,3101,2025-H2,KOSIS,DT_1ES3A03_A01S,675,62.8
Gyeonggi,성남시,3102,2025-H2,KOSIS,DT_1ES3A03_A01S,472,59.6
Gyeonggi,의정부시,3103,2025-H2,KOSIS,DT_1ES3A03_A01S,240,59.0
Gyeonggi,안양시,3104,2025-H2,KOSIS,DT_1ES3A03_A01S,307,62.5
Gyeonggi,부천시,3105,2025-H2,KOSIS,DT_1ES3A03_A01S,409,58.6
Gyeonggi,광명시,3106,2025-H2,KOSIS,DT_1ES3A03_A01S,152,60.5
Gyeonggi,평택시,3107,2025-H2,KOSIS,DT_1ES3A03_A01S,352,64.7
