region,unit_name,reference_year,change_type,latest_month,latest_value,source,dataset
Gyeonggi,가평군,2025,평균지가변동률,6월,0.082,data.go.kr/MOLIT,15063473
Gyeonggi,고양시,2025,평균지가변동률,6월,0.149,data.go.kr/MOLIT,15063473
Gyeonggi,과천시,2025,평균지가변동률,6월,0.37,data.go.kr/MOLIT,15063473
Gyeonggi,광명시,2025,평균지가변동률,6월,0.275,data.go.kr/MOLIT,15063473
Gyeonggi,광주시,2025,평균지가변동률,6월,0.196,data.go.kr/MOLIT,15063473
Gyeonggi,구리시,2025,평균지가변동률,6월,0.16,data.go.kr/MOLIT,15063473
Gyeonggi,군포시,2025,평균지가변동률,6월,0.214,data.go.kr/MOLIT,15063473
Gyeonggi,김포시,2025,평균지가변동률,6월,0.165,data.go.kr/MOLIT,15063473
Gyeonggi,남양주시,2025,평균지가변동률,6월,0.184,data.go.kr/MOLIT,15063473
Gyeonggi,동두천시,2025,평균지가변동률,6월,0.041,data.go.kr/MOLIT,15063473
Gyeonggi,부천시,2025,평균지가변동률,6월,0.194,data.go.kr/MOLIT,15063473
Gyeonggi,성남시,2025,평균지가변동률,6월,0.305,data.go.kr/MOLIT,15063473
Gyeonggi,수원시,2025,평균지가변동률,6월,0.191,data.go.kr/MOLIT,15063473
Gyeonggi,시흥시,2025,평균지가변동률,6월,0.231,data.go.kr/MOLIT,15063473
Gyeonggi,안산시,2025,평균지가변동률,6월,0.221,data.go.kr/MOLIT,15063473
Gyeonggi,안성시,2025,평균지가변동률,6월,0.094,data.go.kr/MOLIT,15063473
Gyeonggi,안양시,2025,평균지가변동률,6월,0.217,data.go.kr/MOLIT,15063473
Gyeonggi,양주시,2025,평균지가변동률,6월,0.109,data.go.kr/MOLIT,15063473
Gyeonggi,양평군,2025,평균지가변동률,6월,0.087,data.go.kr/MOLIT,15063473
Gyeonggi,여주시,2025,평균지가변동률,6월,0.115,data.go.kr/MOLIT,15063473
Gyeonggi,연천군,2025,평균지가변동률,6월,0.071,data.go.kr/MOLIT,15063473
Gyeonggi,오산시,2025,평균지가변동률,6월,0.217,data.go.kr/MOLIT,15063473
Gyeonggi,용인시,2025,평균지가변동률,6월,0.268,data.go.kr/MOLIT,15063473
Gyeonggi,의왕시,2025,평균지가변동률,6월,0.225,data.go.kr/MOLIT,15063473
Gyeonggi,의정부시,2025,평균지가변동률,6월,0.102,data.go.kr/MOLIT,15063473
Gyeonggi,이천시,2025,평균지가변동률,6월,0.137,data.go.kr/MOLIT,15063473
Gyeonggi,파주시,2025,평균지가변동률,6월,0.15,data.go.kr/MOLIT,15063473
Gyeonggi,평택시,2025,평균지가변동률,6월,0.092,data.go.kr/MOLIT,15063473
Gyeonggi,포천시,2025,평균지가변동률,6월,0.104,data.go.kr/MOLIT,15063473
Gyeonggi,하남시,2025,평균지가변동률,6월,0.244,data.go.kr/MOLIT,15063473
Gyeonggi,화성시,2025,평균지가변동률,6월,0.26,data.go.kr/MOLIT,15063473
Seoul,강남구,2025,평균지가변동률,6월,0.602,data.go.kr/MOLIT,15063473
Seoul,강동구,2025,평균지가변동률,6월,0.269,data.go.kr/MOLIT,15063473
Seoul,강북구,2025,평균지가변동률,6월,0.146,data.go.kr/MOLIT,15063473
Seoul,강서구,2025,평균지가변동률,6월,0.181,data.go.kr/MOLIT,15063473
Seoul,관악구,2025,평균지가변동률,6월,0.15,data.go.kr/MOLIT,15063473
Seoul,광진구,2025,평균지가변동률,6월,0.293,data.go.kr/MOLIT,15063473
Seoul,구로구,2025,평균지가변동률,6월,0.16,data.go.kr/MOLIT,15063473
Seoul,금천구,2025,평균지가변동률,6월,0.14,data.go.kr/MOLIT,15063473
Seoul,노원구,2025,평균지가변동률,6월,0.146,data.go.kr/MOLIT,15063473
Seoul,도봉구,2025,평균지가변동률,6월,0.136,data.go.kr/MOLIT,15063473
Seoul,동대문구,2025,평균지가변동률,6월,0.258,data.go.kr/MOLIT,15063473
Seoul,동작구,2025,평균지가변동률,6월,0.261,data.go.kr/MOLIT,15063473
Seoul,마포구,2025,평균지가변동률,6월,0.338,data.go.kr/MOLIT,15063473
Seoul,서대문구,2025,평균지가변동률,6월,0.211,data.go.kr/MOLIT,15063473
Seoul,서초구,2025,평균지가변동률,6월,0.396,data.go.kr/MOLIT,15063473
Seoul,성동구,2025,평균지가변동률,6월,0.347,data.go.kr/MOLIT,15063473
Seoul,성북구,2025,평균지가변동률,6월,0.197,data.go.kr/MOLIT,15063473
Seoul,송파구,2025,평균지가변동률,6월,0.267,data.go.kr/MOLIT,15063473
Seoul,양천구,2025,평균지가변동률,6월,0.26,data.go.kr/MOLIT,15063473
Seoul,영등포구,2025,평균지가변동률,6월,0.272,data.go.kr/MOLIT,15063473
Seoul,용산구,2025,평균지가변동률,6월,0.611,data.go.kr/MOLIT,15063473
Seoul,은평구,2025,평균지가변동률,6월,0.222,data.go.kr/MOLIT,15063473
Seoul,종로구,2025,평균지가변동률,6월,0.238,data.go.kr/MOLIT,15063473
Seoul,중구,2025,평균지가변동률,6월,0.232,data.go.kr/MOLIT,15063473
Seoul,중랑구,2025,평균지가변동률,6월,0.194,data.go.kr/MOLIT,15063473
Incheon,강화군,2025,평균지가변동률,6월,0.038,data.go.kr/MOLIT,15063473
Incheon,계양구,2025,평균지가변동률,6월,0.077,data.go.kr/MOLIT,15063473
Incheon,남동구,2025,평균지가변동률,6월,0.09,data.go.kr/MOLIT,15063473
Incheon,동구,2025,평균지가변동률,6월,0.043,data.go.kr/MOLIT,15063473
Incheon,미추홀구,2025,평균지가변동률,6월,0.062,data.go.kr/MOLIT,15063473
Incheon,부평구,2025,평균지가변동률,6월,0.072,data.go.kr/MOLIT,15063473
Incheon,서구,2025,평균지가변동률,6월,0.117,data.go.kr/MOLIT,15063473
Incheon,연수구,2025,평균지가변동률,6월,0.064,data.go.kr/MOLIT,15063473
Incheon,옹진군,2025,평균지가변동률,6월,0.036,data.go.kr/MOLIT,15063473
Incheon,중구,2025,평균지가변동률,6월,0.058,data.go.kr/MOLIT,15063473
