region,unit_name,region_code,reference_period,source,table_id,indicator_id,value
Seoul,종로구,11110,2026-02,KOSIS,DT_1B26001,T10,2153
Seoul,중구,11140,2026-02,KOSIS,DT_1B26001,T10,1812
Seoul,용산구,11170,2026-02,KOSIS,DT_1B26001,T10,3049
Seoul,성동구,11200,2026-02,KOSIS,DT_1B26001,T10,4531
Seoul,광진구,11215,2026-02,KOSIS,DT_1B26001,T10,4888
Seoul,동대문구,11230,2026-02,KOSIS,DT_1B26001,T10,7775
Seoul,중랑구,11260,2026-02,KOSIS,DT_1B26001,T10,3887
Seoul,성북구,11290,2026-02,KOSIS,DT_1B26001,T10,6756
Seoul,강북구,11305,2026-02,KOSIS,DT_1B26001,T10,3112
Seoul,도봉구,11320,2026-02,KOSIS,DT_1B26001,T10,2702
Seoul,노원구,11350,2026-02,KOSIS,DT_1B26001,T10,6176
Seoul,은평구,11380,2026-02,KOSIS,DT_1B26001,T10,4698
Seoul,서대문구,11410,2026-02,KOSIS,DT_1B26001,T10,5137
Seoul,마포구,11440,2026-02,KOSIS,DT_1B26001,T10,5594
Seoul,양천구,11470,2026-02,KOSIS,DT_1B26001,T10,5454
Seoul,강서구,11500,2026-02,KOSIS,DT_1B26001,T10,6601
Seoul,구로구,11530,2026-02,KOSIS,DT_1B26001,T10,4081
Seoul,금천구,11545,2026-02,KOSIS,DT_1B26001,T10,2427
Seoul,영등포구,11560,2026-02,KOSIS,DT_1B26001,T10,5779
Seoul,동작구,11590,2026-02,KOSIS,DT_1B26001,T10,6028
Seoul,관악구,11620,2026-02,KOSIS,DT_1B26001,T10,8894
Seoul,서초구,11650,2026-02,KOSIS,DT_1B26001,T10,6121
Seoul,강남구,11680,2026-02,KOSIS,DT_1B26001,T10,9028
Seoul,송파구,11710,2026-02,KOSIS,DT_1B26001,T10,13353
Seoul,강동구,11740,2026-02,KOSIS,DT_1B26001,T10,7312
Incheon,중구,28110,2026-02,KOSIS,DT_1B26001,T10,2480
Incheon,동구,28140,2026-02,KOSIS,DT_1B26001,T10,1223
Incheon,미추홀구,28177,2026-02,KOSIS,DT_1B26001,T10,4422
Incheon,연수구,28185,2026-02,KOSIS,DT_1B26001,T10,5349
Incheon,남동구,28200,2026-02,KOSIS,DT_1B26001,T10,4237
Incheon,부평구,28237,2026-02,KOSIS,DT_1B26001,T10,4005
Incheon,계양구,28245,2026-02,KOSIS,DT_1B26001,T10,2152
Incheon,서구,28260,2026-02,KOSIS,DT_1B26001,T10,7760
Incheon,강화군,28710,2026-02,KOSIS,DT_1B26001,T10,623
Incheon,옹진군,28720,2026-02,KOSIS,DT_1B26001,T10,230
Gyeonggi,수원시,41110,2026-02,KOSIS,DT_1B26001,T10,16100
Gyeonggi,성남시,41130,2026-02,KOSIS,DT_1B26001,T10,12959
Gyeonggi,의정부시,41150,2026-02,KOSIS,DT_1B26001,T10,4271
Gyeonggi,안양시,41170,2026-02,KOSIS,DT_1B26001,T10,6557
Gyeonggi,부천시,41190,2026-02,KOSIS,DT_1B26001,T10,6643
Gyeonggi,광명시,41210,2026-02,KOSIS,DT_1B26001,T10,7329
Gyeonggi,평택시,41220,2026-02,KOSIS,DT_1B26001,T10,8758
Gyeonggi,동두천시,41250,2026-02,KOSIS,DT_1B26001,T10,735
Gyeonggi,안산시,41270,2026-02,KOSIS,DT_1B26001,T10,5545
Gyeonggi,고양시,41280,2026-02,KOSIS,DT_1B26001,T10,11130
Gyeonggi,과천시,41290,2026-02,KOSIS,DT_1B26001,T10,1116
Gyeonggi,구리시,41310,2026-02,KOSIS,DT_1B26001,T10,1729
Gyeonggi,남양주시,41360,2026-02,KOSIS,DT_1B26001,T10,6168
Gyeonggi,오산시,41370,2026-02,KOSIS,DT_1B26001,T10,3001
Gyeonggi,시흥시,41390,2026-02,KOSIS,DT_1B26001,T10,4546
Gyeonggi,군포시,41410,2026-02,KOSIS,DT_1B26001,T10,2285
Gyeonggi,의왕시,41430,2026-02,KOSIS,DT_1B26001,T10,1938
Gyeonggi,하남시,41450,2026-02,KOSIS,DT_1B26001,T10,4115
Gyeonggi,용인시,41460,2026-02,KOSIS,DT_1B26001,T10,14832
Gyeonggi,파주시,41480,2026-02,KOSIS,DT_1B26001,T10,6972
Gyeonggi,이천시,41500,2026-02,KOSIS,DT_1B26001,T10,2806
Gyeonggi,안성시,41550,2026-02,KOSIS,DT_1B26001,T10,2218
Gyeonggi,김포시,41570,2026-02,KOSIS,DT_1B26001,T10,4736
Gyeonggi,화성시,41590,2026-02,KOSIS,DT_1B26001,T10,14635
Gyeonggi,광주시,41610,2026-02,KOSIS,DT_1B26001,T10,3290
Gyeonggi,양주시,41630,2026-02,KOSIS,DT_1B26001,T10,2925
Gyeonggi,포천시,41650,2026-02,KOSIS,DT_1B26001,T10,1124
Gyeonggi,여주시,41670,2026-02,KOSIS,DT_1B26001,T10,982
Gyeonggi,연천군,41800,2026-02,KOSIS,DT_1B26001,T10,449
Gyeonggi,가평군,41820,2026-02,KOSIS,DT_1B26001,T10,551
Gyeonggi,양평군,41830,2026-02,KOSIS,DT_1B26001,T10,1058
