region,unit_name,unit_type,reference_period,source,source_endpoint,population,households,persons_per_household
Seoul,종로구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,136817,72570,1.89
Seoul,중구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,117762,63968,1.84
Seoul,용산구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,200962,102627,1.96
Seoul,성동구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,275093,133910,2.05
Seoul,광진구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,331123,171849,1.93
Seoul,동대문구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,351542,180029,1.95
Seoul,중랑구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,376665,190029,1.98
Seoul,성북구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,422778,199878,2.12
Seoul,강북구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,278786,142760,1.95
Seoul,도봉구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,299065,139159,2.15
Seoul,노원구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,482487,217323,2.22
Seoul,은평구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,454109,214613,2.12
Seoul,서대문구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,300594,147073,2.04
Seoul,마포구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,356966,180563,1.98
Seoul,양천구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,423666,179554,2.36
Seoul,강서구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,548985,274207,2.00
Seoul,구로구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,382836,184675,2.07
Seoul,금천구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,222712,121723,1.83
Seoul,영등포구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,371177,193000,1.92
Seoul,동작구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,372236,187849,1.98
Seoul,관악구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,478468,290923,1.64
Seoul,서초구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,415540,174100,2.39
Seoul,강남구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,554165,244970,2.26
Seoul,송파구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,650071,289170,2.25
Seoul,강동구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,499795,223615,2.24
Incheon,중구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,177848,89692,1.98
Incheon,동구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,57603,27911,2.06
Incheon,미추홀구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,417486,206184,2.02
Incheon,연수구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,410050,168969,2.43
Incheon,남동구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,479700,226339,2.12
Incheon,부평구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,489390,226716,2.16
Incheon,계양구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,277157,128943,2.15
Incheon,서구,autonomous_district,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,657709,284241,2.31
Incheon,강화군,county,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,69615,36217,1.92
Incheon,옹진군,county,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,19425,12211,1.59
Gyeonggi,수원시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,1186167,544090,2.18
Gyeonggi,성남시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,905493,410325,2.21
Gyeonggi,의정부시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,461460,213101,2.17
Gyeonggi,안양시,city,2026-03,MOIS,downloadCsv.do?searchYearMonth=month&xlsStats=2,562666,240437,2.34
