region,unit_name,unit_type,run_scope,population_period,population_source,population,households,persons_per_household,migration_period,migration_source,migration_table_id,migration_indicator_id,migration_region_code,migration_value,employment_period,employment_source,employment_table_id,employment_region_code,employed_thousand,employment_rate,merge_status,notes
Seoul,종로구,autonomous_district,run-1-main-66,2026-03,MOIS,136817,72570,1.89,2026-02,KOSIS,DT_1B26001,T10,11110,2153,2025-H2,KOSIS,DT_1ES3A03_A01S,1101,73,54.1,migration_ok;employment_ok,
Seoul,중구,autonomous_district,run-1-main-66,2026-03,MOIS,117762,63968,1.84,2026-02,KOSIS,DT_1B26001,T10,11140,1812,2025-H2,KOSIS,DT_1ES3A03_A01S,1102,69,58.4,migration_ok;employment_ok,
Seoul,용산구,autonomous_district,run-1-main-66,2026-03,MOIS,200962,102627,1.96,2026-02,KOSIS,DT_1B26001,T10,11170,3049,2025-H2,KOSIS,DT_1ES3A03_A01S,1103,113,61.1,migration_ok;employment_ok,
Seoul,성동구,autonomous_district,run-1-main-66,2026-03,MOIS,275093,133910,2.05,2026-02,KOSIS,DT_1B26001,T10,11200,4531,2025-H2,KOSIS,DT_1ES3A03_A01S,1104,150,59.9,migration_ok;employment_ok,
Seoul,광진구,autonomous_district,run-1-main-66,2026-03,MOIS,331123,171849,1.93,2026-02,KOSIS,DT_1B26001,T10,11215,4888,2025-H2,KOSIS,DT_1ES3A03_A01S,1105,196,61.6,migration_ok;employment_ok,
Seoul,동대문구,autonomous_district,run-1-main-66,2026-03,MOIS,351542,180029,1.95,2026-02,KOSIS,DT_1B26001,T10,11230,7775,2025-H2,KOSIS,DT_1ES3A03_A01S,1106,179,54.2,migration_ok;employment_ok,
Seoul,중랑구,autonomous_district,run-1-main-66,2026-03,MOIS,376665,190029,1.98,2026-02,KOSIS,DT_1B26001,T10,11260,3887,2025-H2,KOSIS,DT_1ES3A03_A01S,1107,200,58.4,migration_ok;employment_ok,
Seoul,성북구,autonomous_district,run-1-main-66,2026-03,MOIS,422778,199878,2.12,2026-02,KOSIS,DT_1B26001,T10,11290,6756,2025-H2,KOSIS,DT_1ES3A03_A01S,1108,220,56.0,migration_ok;employment_ok,
Seoul,강북구,autonomous_district,run-1-main-66,2026-03,MOIS,278786,142760,1.95,2026-02,KOSIS,DT_1B26001,T10,11305,3112,2025-H2,KOSIS,DT_1ES3A03_A01S,1109,134,52.1,migration_ok;employment_ok,
Seoul,도봉구,autonomous_district,run-1-main-66,2026-03,MOIS,299065,139159,2.15,2026-02,KOSIS,DT_1B26001,T10,11320,2702,2025-H2,KOSIS,DT_1ES3A03_A01S,1110,154,57.3,migration_ok;employment_ok,
Seoul,노원구,autonomous_district,run-1-main-66,2026-03,MOIS,482487,217323,2.22,2026-02,KOSIS,DT_1B26001,T10,11350,6176,2025-H2,KOSIS,DT_1ES3A03_A01S,1111,243,56.4,migration_ok;employment_ok,
Seoul,은평구,autonomous_district,run-1-main-66,2026-03,MOIS,454109,214613,2.12,2026-02,KOSIS,DT_1B26001,T10,11380,4698,2025-H2,KOSIS,DT_1ES3A03_A01S,1112,241,59.6,migration_ok;employment_ok,
Seoul,서대문구,autonomous_district,run-1-main-66,2026-03,MOIS,300594,147073,2.04,2026-02,KOSIS,DT_1B26001,T10,11410,5137,2025-H2,KOSIS,DT_1ES3A03_A01S,1113,164,56.7,migration_ok;employment_ok,
Seoul,마포구,autonomous_district,run-1-main-66,2026-03,MOIS,356966,180563,1.98,2026-02,KOSIS,DT_1B26001,T10,11440,5594,2025-H2,KOSIS,DT_1ES3A03_A01S,1114,200,61.4,migration_ok;employment_ok,
Seoul,양천구,autonomous_district,run-1-main-66,2026-03,MOIS,423666,179554,2.36,2026-02,KOSIS,DT_1B26001,T10,11470,5454,2025-H2,KOSIS,DT_1ES3A03_A01S,1115,217,59.9,migration_ok;employment_ok,
Seoul,강서구,autonomous_district,run-1-main-66,2026-03,MOIS,548985,274207,2.00,2026-02,KOSIS,DT_1B26001,T10,11500,6601,2025-H2,KOSIS,DT_1ES3A03_A01S,1116,301,61.5,migration_ok;employment_ok,
Seoul,구로구,autonomous_district,run-1-main-66,2026-03,MOIS,382836,184675,2.07,2026-02,KOSIS,DT_1B26001,T10,11530,4081,2025-H2,KOSIS,DT_1ES3A03_A01S,1117,230,62.2,migration_ok;employment_ok,
Seoul,금천구,autonomous_district,run-1-main-66,2026-03,MOIS,222712,121723,1.83,2026-02,KOSIS,DT_1B26001,T10,11545,2427,2025-H2,KOSIS,DT_1ES3A03_A01S,1118,132,59.9,migration_ok;employment_ok,
Seoul,영등포구,autonomous_district,run-1-main-66,2026-03,MOIS,371177,193000,1.92,2026-02,KOSIS,DT_1B26001,T10,11560,5779,2025-H2,KOSIS,DT_1ES3A03_A01S,1119,234,65.6,migration_ok;employment_ok,
Seoul,동작구,autonomous_district,run-1-main-66,2026-03,MOIS,372236,187849,1.98,2026-02,KOSIS,DT_1B26001,T10,11590,6028,2025-H2,KOSIS,DT_1ES3A03_A01S,1120,213,61.0,migration_ok;employment_ok,
Seoul,관악구,autonomous_district,run-1-main-66,2026-03,MOIS,478468,290923,1.64,2026-02,KOSIS,DT_1B26001,T10,11620,8894,2025-H2,KOSIS,DT_1ES3A03_A01S,1121,268,57.6,migration_ok;employment_ok,
Seoul,서초구,autonomous_district,run-1-main-66,2026-03,MOIS,415540,174100,2.39,2026-02,KOSIS,DT_1B26001,T10,11650,6121,2025-H2,KOSIS,DT_1ES3A03_A01S,1122,200,58.5,migration_ok;employment_ok,
Seoul,강남구,autonomous_district,run-1-main-66,2026-03,MOIS,554165,244970,2.26,2026-02,KOSIS,DT_1B26001,T10,11680,9028,2025-H2,KOSIS,DT_1ES3A03_A01S,1123,273,58.9,migration_ok;employment_ok,
Seoul,송파구,autonomous_district,run-1-main-66,2026-03,MOIS,650071,289170,2.25,2026-02,KOSIS,DT_1B26001,T10,11710,13353,2025-H2,KOSIS,DT_1ES3A03_A01S,1124,343,61.8,migration_ok;employment_ok,
Seoul,강동구,autonomous_district,run-1-main-66,2026-03,MOIS,499795,223615,2.24,2026-02,KOSIS,DT_1B26001,T10,11740,7312,2025-H2,KOSIS,DT_1ES3A03_A01S,1125,253,58.8,migration_ok;employment_ok,
