rank,region,unit_name,unit_type,total_score,final_grade
1,Gyeonggi,화성시,city,85.7244,2
2,Seoul,강남구,autonomous_district,79.9716,3
3,Seoul,영등포구,autonomous_district,78.6815,3
4,Gyeonggi,성남시,city,77.5851,3
5,Gyeonggi,평택시,city,77.3288,3
6,Gyeonggi,수원시,city,75.274,3
7,Gyeonggi,안산시,city,71.9992,4
8,Seoul,송파구,autonomous_district,71.6463,4
9,Seoul,서초구,autonomous_district,71.3033,4
10,Gyeonggi,안양시,city,70.4776,4
11,Gyeonggi,시흥시,city,69.0355,4
12,Incheon,서구,autonomous_district,67.9999,4
13,Gyeonggi,용인시,city,67.4672,4
14,Seoul,마포구,autonomous_district,67.4064,4
15,Seoul,용산구,autonomous_district,63.5605,5
16,Incheon,중구,autonomous_district,62.7477,5
17,Seoul,성동구,autonomous_district,62.678,5
18,Gyeonggi,하남시,city,61.7787,5
19,Gyeonggi,파주시,city,61.7782,5
20,Gyeonggi,고양시,city,61.2116,5
21,Gyeonggi,이천시,city,60.6668,5
22,Seoul,강서구,autonomous_district,60.1934,5
23,Seoul,중구,autonomous_district,58.4066,5
24,Gyeonggi,김포시,city,58.3358,5
25,Gyeonggi,광명시,city,58.1573,5
26,Gyeonggi,부천시,city,58.0267,5
27,Gyeonggi,과천시,city,56.9899,6
28,Seoul,구로구,autonomous_district,56.6187,6
29,Seoul,동작구,autonomous_district,56.2733,6
30,Seoul,동대문구,autonomous_district,55.5642,6
31,Gyeonggi,남양주시,city,55.2498,6
32,Seoul,광진구,autonomous_district,55.0323,6
33,Gyeonggi,오산시,city,54.6224,6
34,Seoul,강동구,autonomous_district,54.1299,6
35,Seoul,종로구,autonomous_district,53.6015,6
36,Gyeonggi,광주시,city,53.3345,6
37,Gyeonggi,의왕시,city,51.7997,6
38,Seoul,서대문구,autonomous_district,51.3362,6
39,Seoul,금천구,autonomous_district,51.1987,6
40,Incheon,연수구,autonomous_district,51.1675,6
41,Seoul,성북구,autonomous_district,49.4,7
42,Seoul,양천구,autonomous_district,49.2083,7
43,Gyeonggi,안성시,city,48.4355,7
44,Incheon,남동구,autonomous_district,47.3256,7
45,Gyeonggi,포천시,city,46.6213,7
46,Gyeonggi,여주시,city,45.9441,7
47,Seoul,관악구,autonomous_district,45.4931,7
48,Gyeonggi,구리시,city,45.128,7
49,Gyeonggi,군포시,city,44.9715,7
50,Incheon,부평구,autonomous_district,44.1361,7
51,Seoul,노원구,autonomous_district,44.1221,7
52,Gyeonggi,의정부시,city,43.5416,7
53,Seoul,은평구,autonomous_district,43.0984,7
54,Gyeonggi,양주시,city,42.6135,7
55,Incheon,미추홀구,autonomous_district,41.7498,8
56,Incheon,동구,autonomous_district,39.5771,8
57,Seoul,중랑구,autonomous_district,36.2408,8
58,Incheon,강화군,county,36.064,8
59,Gyeonggi,가평군,county,36.0259,8
60,Incheon,옹진군,county,35.3238,8
61,Incheon,계양구,autonomous_district,35.1628,8
62,Seoul,도봉구,autonomous_district,32.6415,9
63,Gyeonggi,연천군,county,31.0709,9
64,Seoul,강북구,autonomous_district,31.0126,9
65,Gyeonggi,양평군,county,28.473,9
66,Gyeonggi,동두천시,city,28.0333,9
