region,unit_name,unit_type,population,migration_value,employment_rate,employed_thousand,commuting_value,fiscal_self_reliance,fiscal_autonomy,urban_population_ratio_admin,land_price_value,commercial_resources_score,hubness_score,human_activity_score,new_economy_score,future_plasticity_score,total_score,final_grade
Seoul,종로구,autonomous_district,136817,2153,54.1,73,244.7,39.8,55.0,100,0.238,56.39,57.6549,11.7692,48.205,62.2711,49.6675,7
Seoul,중구,autonomous_district,117762,1812,58.4,69,321.0,55.7,60.9,100,0.232,61.5819,57.6271,16.4616,61.2353,70.174,55.062,6
Seoul,용산구,autonomous_district,200962,3049,61.1,113,125.0,37.3,51.1,100,0.611,67.67,56.9742,39.6923,66.4524,59.9908,59.4649,5
Seoul,성동구,autonomous_district,275093,4531,59.9,150,112.6,32.9,52.0,100,0.347,64.7672,59.6277,42.3846,62.6449,64.3407,59.7426,5
Seoul,광진구,autonomous_district,331123,4888,61.6,196,90.1,23.0,44.4,100,0.293,56.7017,38.4551,53.4616,58.5452,60.7051,52.5311,6
Seoul,동대문구,autonomous_district,351542,7775,54.2,179,105.2,20.3,44.1,100,0.258,49.3181,54.8208,45.0769,38.0969,60.6227,50.0701,6
Seoul,중랑구,autonomous_district,376665,3887,58.4,200,82.1,15.1,35.9,100,0.194,36.7816,26.1878,28.0,25.8237,53.7454,33.7168,9
Seoul,성북구,autonomous_district,422778,6756,56.0,220,93.6,17.0,38.2,100,0.197,43.0548,47.5827,42.2308,26.0012,59.2033,43.9274,7
Seoul,강북구,autonomous_district,278786,3112,52.1,134,82.9,15.6,40.5,100,0.146,27.7616,18.5329,18.4615,20.7325,52.8663,26.7708,9
Seoul,도봉구,autonomous_district,299065,2702,57.3,154,80.8,16.8,43.2,100,0.136,31.1806,21.9783,20.6154,26.609,57.4634,30.5519,9
Seoul,노원구,autonomous_district,482487,6176,56.4,243,86.2,16.6,39.5,100,0.146,40.2104,40.4001,40.1538,22.2087,63.4707,41.0381,8
Seoul,은평구,autonomous_district,454109,4698,59.6,241,77.3,15.7,37.5,100,0.222,47.5453,31.3559,41.9231,35.6356,59.0385,42.5921,7
Seoul,서대문구,autonomous_district,300594,5137,56.7,164,105.3,21.6,45.0,100,0.211,44.2529,54.793,34.2308,35.6376,59.7619,46.4187,7
Seoul,마포구,autonomous_district,356966,5594,61.4,200,120.8,29.2,45.6,100,0.338,64.7185,66.3518,55.3077,59.5323,62.9212,62.6677,5
