region,unit_name,unit_type,peer_group,population,migration_value,employment_rate,commuting_value,fiscal_self_reliance,fiscal_autonomy,urban_population_ratio_admin,land_price_value,population_score,migration_score,employment_score,commuting_score,fiscal_score,urban_form_score,supplementary_score,total_score,final_grade
Seoul,종로구,autonomous_district,capital_districts,136817,2153,54.1,244.7,39.8,55.0,100,0.238,6.25,9.375,3.7037,96.7742,89.8777,50.0,61.2903,44.7596,7
Seoul,중구,autonomous_district,capital_districts,117762,1812,58.4,321.0,55.7,60.9,100,0.232,3.125,3.125,29.6296,100.0,100.0,50.0,58.0645,49.8535,7
Seoul,용산구,autonomous_district,capital_districts,200962,3049,61.1,125.0,37.3,51.1,100,0.611,12.5,21.875,66.6667,77.4194,84.9277,50.0,100.0,57.6379,6
Seoul,성동구,autonomous_district,capital_districts,275093,4531,59.9,112.6,32.9,52.0,100,0.347,18.75,43.75,51.8519,70.9677,83.0923,50.0,90.3226,56.7163,6
Seoul,광진구,autonomous_district,capital_districts,331123,4888,61.6,90.1,23.0,44.4,100,0.293,34.375,50.0,77.7778,32.2581,58.0089,50.0,83.871,53.4499,6
Seoul,동대문구,autonomous_district,capital_districts,351542,7775,54.2,105.2,20.3,44.1,100,0.258,37.5,90.625,7.4074,61.2903,52.9477,50.0,64.5161,49.8771,7
Seoul,중랑구,autonomous_district,capital_districts,376665,3887,58.4,82.1,15.1,35.9,100,0.194,50.0,28.125,29.6296,9.6774,13.2369,50.0,45.1613,30.4788,9
Seoul,성북구,autonomous_district,capital_districts,422778,6756,56.0,93.6,17.0,38.2,100,0.197,65.625,81.25,11.1111,45.1613,28.3092,50.0,48.3871,45.5258,7
Seoul,강북구,autonomous_district,capital_districts,278786,3112,52.1,82.9,15.6,40.5,100,0.146,25.0,25.0,0.0,12.9032,27.8643,50.0,32.2581,22.8042,9
Seoul,도봉구,autonomous_district,capital_districts,299065,2702,57.3,80.8,16.8,43.2,100,0.136,28.125,18.75,22.2222,6.4516,42.7141,50.0,25.8065,26.7683,9
Seoul,노원구,autonomous_district,capital_districts,482487,6176,56.4,86.2,16.6,39.5,100,0.146,81.25,75.0,14.8148,22.5806,28.0868,50.0,32.2581,42.119,7
Seoul,은평구,autonomous_district,capital_districts,454109,4698,59.6,77.3,15.7,37.5,100,0.222,71.875,46.875,48.1481,0.0,19.911,50.0,54.8387,39.4663,8
Seoul,서대문구,autonomous_district,capital_districts,300594,5137,56.7,105.3,21.6,45.0,100,0.211,31.25,53.125,18.5185,64.5161,57.8976,50.0,51.6129,45.9934,7
