region,unit_name,reference_period,source,dataset,total_population,urban_population_zoning,nonurban_population_zoning,urban_population_admin,rural_population_admin,urban_population_ratio_zoning,urban_population_ratio_admin
Seoul,종로구,2024,LX/data.go.kr,15101219,138336,138336,0,138336,0,100,100
Seoul,중구,2024,LX/data.go.kr,15101219,120544,120544,0,120544,0,100,100
Seoul,용산구,2024,LX/data.go.kr,15101219,203854,203854,0,203854,0,100,100
Seoul,성동구,2024,LX/data.go.kr,15101219,273669,273669,0,273669,0,100,100
Seoul,광진구,2024,LX/data.go.kr,15101219,331963,331963,0,331963,0,100,100
Seoul,동대문구,2024,LX/data.go.kr,15101219,338735,338735,0,338735,0,100,100
Seoul,중랑구,2024,LX/data.go.kr,15101219,379274,379274,0,379274,0,100,100
Seoul,성북구,2024,LX/data.go.kr,15101219,421560,421560,0,421560,0,100,100
Seoul,강북구,2024,LX/data.go.kr,15101219,283597,283597,0,283597,0,100,100
Seoul,도봉구,2024,LX/data.go.kr,15101219,303228,303228,0,303228,0,100,100
Seoul,노원구,2024,LX/data.go.kr,15101219,491247,491247,0,491247,0,100,100
Seoul,은평구,2024,LX/data.go.kr,15101219,460919,460919,0,460919,0,100,100
Seoul,서대문구,2024,LX/data.go.kr,15101219,302853,302853,0,302853,0,100,100
Seoul,마포구,2024,LX/data.go.kr,15101219,361417,361417,0,361417,0,100,100
Seoul,양천구,2024,LX/data.go.kr,15101219,430976,430976,0,430976,0,100,100
Seoul,강서구,2024,LX/data.go.kr,15101219,556171,556171,0,556171,0,100,100
Seoul,구로구,2024,LX/data.go.kr,15101219,388169,388169,0,388169,0,100,100
Seoul,금천구,2024,LX/data.go.kr,15101219,225159,225159,0,225159,0,100,100
Seoul,영등포구,2024,LX/data.go.kr,15101219,373773,373773,0,373773,0,100,100
Seoul,동작구,2024,LX/data.go.kr,15101219,375799,375799,0,375799,0,100,100
Seoul,관악구,2024,LX/data.go.kr,15101219,477812,477812,0,477812,0,100,100
Seoul,서초구,2024,LX/data.go.kr,15101219,408376,408376,0,408376,0,100,100
Seoul,강남구,2024,LX/data.go.kr,15101219,557345,557345,0,557345,0,100,100
Seoul,송파구,2024,LX/data.go.kr,15101219,650110,650110,0,650110,0,100,100
Seoul,강동구,2024,LX/data.go.kr,15101219,476942,476942,0,476942,0,100,100
Incheon,중구,2024,LX/data.go.kr,15101219,167113,167113,0,167113,0,100,100
Incheon,동구,2024,LX/data.go.kr,15101219,58296,58296,0,58296,0,100,100
Incheon,연수구,2024,LX/data.go.kr,15101219,400213,400213,0,400213,0,100,100
