도시명,전체인구,용도지역기준_도시인구,용도지역기준_비도시인구,행정구역기준_도시인구,행정구역기준_농촌인구,도시지역인구비율_용도지역인구기준,도시지역인구비율_행정구역인구기준
서울특별시 종로구,138336,138336,0,138336,0,100,100
서울특별시 중구,120544,120544,0,120544,0,100,100
서울특별시 용산구,203854,203854,0,203854,0,100,100
서울특별시 성동구,273669,273669,0,273669,0,100,100
서울특별시 광진구,331963,331963,0,331963,0,100,100
서울특별시 동대문구,338735,338735,0,338735,0,100,100
서울특별시 중랑구,379274,379274,0,379274,0,100,100
서울특별시 성북구,421560,421560,0,421560,0,100,100
서울특별시 강북구,283597,283597,0,283597,0,100,100
서울특별시 도봉구,303228,303228,0,303228,0,100,100
서울특별시 노원구,491247,491247,0,491247,0,100,100
서울특별시 은평구,460919,460919,0,460919,0,100,100
서울특별시 서대문구,302853,302853,0,302853,0,100,100
서울특별시 마포구,361417,361417,0,361417,0,100,100
서울특별시 양천구,430976,430976,0,430976,0,100,100
서울특별시 강서구,556171,556171,0,556171,0,100,100
서울특별시 구로구,388169,388169,0,388169,0,100,100
서울특별시 금천구,225159,225159,0,225159,0,100,100
서울특별시 영등포구,373773,373773,0,373773,0,100,100
서울특별시 동작구,375799,375799,0,375799,0,100,100
서울특별시 관악구,477812,477812,0,477812,0,100,100
서울특별시 서초구,408376,408376,0,408376,0,100,100
서울특별시 강남구,557345,557345,0,557345,0,100,100
서울특별시 송파구,650110,650110,0,650110,0,100,100
서울특별시 강동구,476942,476942,0,476942,0,100,100
부산광역시 중구,37537,37537,0,37537,0,100,100
부산광역시 서구,103188,103188,0,103188,0,100,100
부산광역시 동구,85911,85911,0,85911,0,100,100
부산광역시 영도구,103737,103737,0,103737,0,100,100
부산광역시 부산진구,359281,359281,0,359281,0,100,100
부산광역시 동래구,274370,274370,0,274370,0,100,100
부산광역시 남구,254498,254498,0,254498,0,100,100
부산광역시 북구,267692,267692,0,267692,0,100,100
부산광역시 해운대구,376404,376404,0,376404,0,100,100
부산광역시 사하구,292491,292491,0,292491,0,100,100
부산광역시 금정구,209932,209932,0,209932,0,100,100
부산광역시 강서구,142789,142789,0,142789,0,100,100
부산광역시 연제구,212589,212589,0,212589,0,100,100
부산광역시 수영구,171918,171918,0,171918,0,100,100
부산광역시 사상구,198635,198635,0,198635,0,100,100
부산광역시 기장군,175626,175626,0,168220,7406,100,95.78
대구광역시 중구,97711,97711,0,97711,0,100,100
대구광역시 동구,342339,338044,4295,342339,0,98.75,100
대구광역시 서구,163135,163135,0,163135,0,100,100
대구광역시 남구,136263,136263,0,136263,0,100,100
대구광역시 북구,413010,413010,0,413010,0,100,100
대구광역시 수성구,409107,409107,0,409107,0,100,100
대구광역시 달서구,522021,522021,0,522021,0,100,100
대구광역시 달성군,257580,257505,75,228226,29354,99.97,88.6
대구광역시 군위군,22463,5024,17439,7803,14660,22.37,34.74
인천광역시 중구,167113,167113,0,167113,0,100,100
인천광역시 동구,58296,58296,0,58296,0,100,100
인천광역시 연수구,400213,400213,0,400213,0,100,100
인천광역시 남동구,486225,486225,0,486225,0,100,100
